Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90
-90,-58,100,-61,100,-85,100,-87,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-62,-58,100,-85,100,-88,-86,-93,100,-85,100,100,100,100,100,100,100,100,100,-88,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,-82,0
-89,-59,100,-63,100,-90,100,-90,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-62,-60,100,100,100,-91,-89,100,100,100,100,100,100,100,100,100,100,100,100,-86,-86,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,-81,0
-88,-59,100,-63,-80,100,100,-89,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-62,-60,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,-79,0
-88,-60,100,-64,-88,-92,-92,-88,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-59,-91,100,100,100,100,100,-90,-90,100,100,100,100,100,100,100,100,100,-90,-85,100,-92,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-82,0
100,-61,-87,-59,-86,100,-90,-90,100,100,-86,100,100,100,100,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-59,-61,-92,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-93,-82,0
-87,-61,-93,-60,-81,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-61,-62,-92,100,100,100,-91,100,100,-85,100,-89,100,100,100,100,100,100,100,-88,-83,100,-91,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,0
100,-46,100,-49,-80,-79,100,-87,100,-89,-95,-87,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-48,-46,100,100,-91,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-93,-80,100,100,-86,-95,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,1
100,-47,100,-51,-90,-88,100,-92,-91,-89,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-51,-47,100,100,-88,-89,-82,100,100,100,100,100,100,100,100,100,100,100,100,-88,-89,100,100,-82,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,1
100,-47,100,-48,-79,-82,100,-86,-92,-92,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-51,-47,100,100,-92,-91,-84,100,100,100,100,100,100,100,100,100,100,100,100,-87,-82,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,1
100,-49,100,-48,-83,-81,100,-88,100,-86,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-50,-35,100,100,-87,-93,-82,100,100,-92,100,100,100,100,100,100,100,100,100,-86,-82,100,100,-83,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,1
