Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90
-87,-57,-85,-63,-83,-86,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-63,-57,100,-87,100,100,-85,100,100,-84,100,100,100,100,100,100,100,100,100,-90,-85,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
100,-59,-83,-65,-81,-88,-92,-93,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-59,100,-90,100,100,-87,100,100,-84,100,100,100,100,100,100,100,-89,100,-88,-84,100,-93,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,0
100,-60,-82,-65,-80,100,-93,-89,100,100,-84,100,-94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-60,100,100,100,100,100,-92,100,-83,100,100,100,100,100,100,100,100,100,-89,-82,100,-94,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,0
100,-59,-81,-64,-81,-89,100,-91,100,100,-81,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-60,100,100,100,100,-88,-92,100,-81,100,100,100,100,100,100,100,100,100,-89,-82,100,-94,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
100,-59,-82,-66,-82,-88,-94,-90,100,100,-82,100,-95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-66,-59,100,100,100,100,-90,100,100,-80,100,100,100,100,100,100,100,100,100,-93,-86,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
100,-59,-84,-68,-83,-89,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-59,100,100,100,100,-92,100,100,-83,100,100,100,100,100,100,100,100,100,-93,-84,100,-93,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
100,-49,-88,-54,100,-80,100,100,-84,-87,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-53,-49,100,100,-89,100,-79,100,100,-91,100,100,100,100,100,100,100,100,100,100,-89,100,-92,-84,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1
100,-45,-90,-50,-83,-81,100,100,-86,100,-83,-89,100,100,100,100,100,100,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-50,-47,100,100,100,100,-80,100,100,-88,100,100,100,100,100,100,100,100,100,100,-84,100,100,-82,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1
100,-47,100,-53,-85,-77,100,-93,-85,100,-86,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-54,-47,100,100,-90,100,-80,100,100,-91,100,100,100,100,100,100,100,100,100,-91,-83,100,100,-83,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1
100,-46,100,-54,-85,-80,100,100,-82,-90,-83,-89,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-54,-45,100,100,-89,100,-79,100,100,-91,100,100,100,100,100,100,100,100,100,100,-82,100,100,-82,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1
